System call,Windows NT (SP3 TS),Windows NT (SP3),Windows NT (SP4),Windows NT (SP5),Windows NT (SP6),Windows 2000 (SP0),Windows 2000 (SP1),Windows 2000 (SP2),Windows 2000 (SP3),Windows 2000 (SP4),Windows XP (SP0),Windows XP (SP1),Windows XP (SP2),Windows XP (SP3),Windows Server 2003 (SP0),Windows Server 2003 (SP1),Windows Server 2003 (SP2),Windows Server 2003 (R2),Windows Server 2003 (R2 SP2),Windows Vista (SP0),Windows Vista (SP1),Windows Vista (SP2),Windows Server 2008 (SP0),Windows Server 2008 (SP2),Windows 7 (SP0),Windows 7 (SP1),Windows 8 (8.0),Windows 8 (8.1),Windows 10 (1507),Windows 10 (1511),Windows 10 (1607),Windows 10 (1703),Windows 10 (1709),Windows 10 (1803),Windows 10 (1809),Windows 10 (1903),Windows 10 (1909),Windows 10 (2004),Windows 10 (20H2)
NtAcceptConnectPort,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x01ac,0x0001,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002
NtAccessCheck,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001,0x01ab,0x01b0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
NtAccessCheckAndAuditAlarm,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x01aa,0x01af,0x01b7,0x01ba,0x01bc,0x01c2,0x01c6,0x01c6,0x01c6,0x01c6,0x01c6,0x01c8,0x01c8
NtAccessCheckByType,,,,,,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x01a9,0x01ae,0x01b6,0x01b9,0x01bb,0x01c1,0x01c5,0x01c5,0x01c5,0x01c5,0x01c5,0x01c7,0x01c7
NtAccessCheckByTypeAndAuditAlarm,,,,,,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004,0x01a8,0x01ad,0x01b5,0x01b8,0x01ba,0x01c0,0x01c4,0x01c4,0x01c4,0x01c4,0x01c4,0x01c6,0x01c6
NtAccessCheckByTypeResultList,,,,,,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005,0x01a7,0x01ac,0x01b4,0x01b7,0x01b9,0x01bf,0x01c3,0x01c3,0x01c3,0x01c3,0x01c3,0x01c5,0x01c5
NtAccessCheckByTypeResultListAndAuditAlarm,,,,,,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006,0x01a6,0x01ab,0x01b3,0x01b6,0x01b8,0x01be,0x01c2,0x01c2,0x01c2,0x01c2,0x01c2,0x01c4,0x01c4
NtAccessCheckByTypeResultListAndAuditAlarmByHandle,,,,,,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007,0x01a5,0x01aa,0x01b2,0x01b5,0x01b7,0x01bd,0x01c1,0x01c1,0x01c1,0x01c1,0x01c1,0x01c3,0x01c3
NtAcquireCMFViewOwnership,,,,,,,,,,,,,,,,,,,,0x018c,0x0185,0x0185,0x0185,0x0185,,,,,,,,,,,,,,,
NtAcquireCrossVmMutant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x01d3,0x01d3
NtAcquireProcessActivityReference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x01bc,0x01c0,0x01c0,0x01c0,0x01c0,0x01c0,0x01c2,0x01c2
NtAddAtom,0x0003,0x0003,0x0003,0x0003,0x0003,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x01a3,0x01a8,0x01b0,0x01b3,0x01b5,0x01ba,0x01be,0x01be,0x01be,0x01be,0x01be,0x01c0,0x01c0
NtAddAtomEx,,,,,,,,,,,,,,,,,,,,,,,,,,,0x01a4,0x01a9,0x01b1,0x01b4,0x01b6,0x01bb,0x01bf,0x01bf,0x01bf,0x01bf,0x01bf,0x01c1,0x01c1
NtAddBootEntry,,,,,,,,,,,0x0009,0x0009,0x0009,0x0009,0x0009,0x0009,0x0009,0x0009,0x0009,0x0009,0x0009,0x0009,0x0009,0x0009,0x0009,0x0009,0x01a2,0x01a7,0x01af,0x01b2,0x01b4,0x01b9,0x01bd,0x01bd,0x01bd,0x01bd,0x01bd,0x01bf,0x01bf
NtAddDriverEntry,,,,,,,,,,,,,,,0x000a,0x000a,0x000a,0x000a,0x000a,0x000a,0x000a,0x000a,0x000a,0x000a,0x000a,0x000a,0x01a1,0x01a6,0x01ae,0x01b1,0x01b3,0x01b8,0x01bc,0x01bc,0x01bc,0x01bc,0x01bc,0x01be,0x01be
NtAdjustGroupsToken,0x0004,0x0004,0x0004,0x0004,0x0004,0x0009,0x0009,0x0009,0x0009,0x0009,0x000a,0x000a,0x000a,0x000a,0x000b,0x000b,0x000b,0x000b,0x000b,0x000b,0x000b,0x000b,0x000b,0x000b,0x000b,0x000b,0x019f,0x01a4,0x01ac,0x01af,0x01b1,0x01b6,0x01ba,0x01ba,0x01ba,0x01ba,0x01ba,0x01bc,0x01bc
NtAdjustPrivilegesToken,0x0005,0x0005,0x0005,0x0005,0x0005,0x000a,0x000a,0x000a,0x000a,0x000a,0x000b,0x000b,0x000b,0x000b,0x000c,0x000c,0x000c,0x000c,0x000c,0x000c,0x000c,0x000c,0x000c,0x000c,0x000c,0x000c,0x019e,0x01a3,0x01ab,0x01ae,0x01b0,0x01b5,0x01b9,0x01b9,0x01b9,0x01b9,0x01b9,0x01bb,0x01bb
NtAdjustTokenClaimsAndDeviceGroups,,,,,,,,,,,,,,,,,,,,,,,,,,,0x01a0,0x01a5,0x01ad,0x01b0,0x01b2,0x01b7,0x01bb,0x01bb,0x01bb,0x01bb,0x01bb,0x01bd,0x01bd
NtAlertResumeThread,0x0006,0x0006,0x0006,0x0006,0x0006,0x000b,0x000b,0x000b,0x000b,0x000b,0x000c,0x000c,0x000c,0x000c,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x000d,0x019d,0x01a2,0x01aa,0x01ad,0x01af,0x01b4,0x01b8,0x01b8,0x01b8,0x01b8,0x01b8,0x01ba,0x01ba
NtAlertThread,0x0007,0x0007,0x0007,0x0007,0x0007,0x000c,0x000c,0x000c,0x000c,0x000c,0x000d,0x000d,0x000d,0x000d,0x000e,0x000e,0x000e,0x000e,0x000e,0x000e,0x000e,0x000e,0x000e,0x000e,0x000e,0x000e,0x019c,0x01a1,0x01a9,0x01ac,0x01ae,0x01b3,0x01b7,0x01b7,0x01b7,0x01b7,0x01b7,0x01b9,0x01b9
NtAlertThreadByThreadId,,,,,,,,,,,,,,,,,,,,,,,,,,,0x019b,0x01a0,0x01a8,0x01ab,0x01ad,0x01b2,0x01b6,0x01b6,0x01b6,0x01b6,0x01b6,0x01b8,0x01b8
NtAllocateLocallyUniqueId,0x0008,0x0008,0x0008,0x0008,0x0008,0x000d,0x000d,0x000d,0x000d,0x000d,0x000e,0x000e,0x000e,0x000e,0x000f,0x000f,0x000f,0x000f,0x000f,0x000f,0x000f,0x000f,0x000f,0x000f,0x000f,0x000f,0x019a,0x019f,0x01a7,0x01aa,0x01ac,0x01b1,0x01b5,0x01b5,0x01b5,0x01b5,0x01b5,0x01b7,0x01b7
NtAllocateReserveObject,,,,,,,,,,,,,,,,,,,,,,,,,0x0010,0x0010,0x0199,0x019e,0x01a6,0x01a9,0x01ab,0x01b0,0x01b4,0x01b4,0x01b4,0x01b4,0x01b4,0x01b6,0x01b6
NtAllocateUserPhysicalPages,,,,,,0x000e,0x000e,0x000e,0x000e,0x000e,0x000f,0x000f,0x000f,0x000f,0x0010,0x0010,0x0010,0x0010,0x0010,0x0010,0x0010,0x0010,0x0010,0x0010,0x0011,0x0011,0x0198,0x019d,0x01a5,0x01a8,0x01aa,0x01af,0x01b3,0x01b3,0x01b3,0x01b3,0x01b3,0x01b4,0x01b4
NtAllocateUserPhysicalPagesEx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x01b5,0x01b5
NtAllocateUuids,0x0009,0x0009,0x0009,0x0009,0x0009,0x000f,0x000f,0x000f,0x000f,0x000f,0x0010,0x0010,0x0010,0x0010,0x0011,0x0011,0x0011,0x0011,0x0011,0x0011,0x0011,0x0011,0x0011,0x0011,0x0012,0x0012,0x0197,0x019c,0x01a4,0x01a7,0x01a9,0x01ae,0x01b2,0x01b2,0x01b2,0x01b2,0x01b2,0x01b3,0x01b3
NtAllocateVirtualMemory,0x000a,0x000a,0x000a,0x000a,0x000a,0x0010,0x0010,0x0010,0x0010,0x0010,0x0011,0x0011,0x0011,0x0011,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0013,0x0013,0x0196,0x019b,0x01a3,0x01a6,0x01a8,0x01ad,0x01b1,0x01b1,0x01b1,0x01b1,0x01b1,0x01b2,0x01b2
NtAllocateVirtualMemoryEx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x01cc,0x01cc,0x01cc,0x01cc,0x01ce,0x01ce
NtAlpcAcceptConnectPort,,,,,,,,,,,,,,,,,,,,0x0013,0x0013,0x0013,0x0013,0x0013,0x0014,0x0014,0x0195,0x019a,0x01a2,0x01a5,0x01a7,0x01ac,0x01b0,0x01b0,0x01b0,0x01b0,0x01b0,0x01b1,0x01b1
NtAlpcCancelMessage,,,,,,,,,,,,,,,,,,,,0x0014,0x0014,0x0014,0x0014,0x0014,0x0015,0x0015,0x0194,0x0199,0x01a1,0x01a4,0x01a6,0x01ab,0x01af,0x01af,0x01af,0x01af,0x01af,0x01b0,0x01b0
NtAlpcConnectPort,,,,,,,,,,,,,,,,,,,,0x0015,0x0015,0x0015,0x0015,0x0015,0x0016,0x0016,0x0192,0x0197,0x019f,0x01a2,0x01a4,0x01a9,0x01ad,0x01ad,0x01ad,0x01ad,0x01ad,0x01ae,0x01ae
NtAlpcConnectPortEx,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0193,0x0198,0x01a0,0x01a3,0x01a5,0x01aa,0x01ae,0x01ae,0x01ae,0x01ae,0x01ae,0x01af,0x01af
NtAlpcCreatePort,,,,,,,,,,,,,,,,,,,,0x0016,0x0016,0x0016,0x0016,0x0016,0x0017,0x0017,0x0191,0x0196,0x019e,0x01a1,0x01a3,0x01a8,0x01ac,0x01ac,0x01ac,0x01ac,0x01ac,0x01ad,0x01ad
NtAlpcCreatePortSection,,,,,,,,,,,,,,,,,,,,0x0017,0x0017,0x0017,0x0017,0x0017,0x0018,0x0018,0x0190,0x0195,0x019d,0x01a0,0x01a2,0x01a7,0x01ab,0x01ab,0x01ab,0x01ab,0x01ab,0x01ac,0x01ac
NtAlpcCreateResourceReserve,,,,,,,,,,,,,,,,,,,,0x0018,0x0018,0x0018,0x0018,0x0018,0x0019,0x0019,0x018f,0x0194,0x019c,0x019f,0x01a1,0x01a6,0x01aa,0x01aa,0x01aa,0x01aa,0x01aa,0x01ab,0x01ab
NtAlpcCreateSectionView,,,,,,,,,,,,,,,,,,,,0x0019,0x0019,0x0019,0x0019,0x0019,0x001a,0x001a,0x018e,0x0193,0x019b,0x019e,0x01a0,0x01a5,0x01a9,0x01a9,0x01a9,0x01a9,0x01a9,0x01aa,0x01aa
